Fecha de comienzo,Fecha de finalizaci—n ,Duraci—n [Mins],Location,Simultaneo?,Productivo?
29/10/21 10:00,29/10/21 11:00,60,Zoom,0,1
29/10/21 11:00,29/10/21 11:30,30,Zoom,0,1
29/10/21 11:15,29/10/21 11:45,30,Zoom,0,1
29/10/21 14:30,29/10/21 15:00,30,Zoom,0,1
29/10/21 17:30,29/10/21 17:45,15,Zoom,0,1
01/11/21 8:00,01/11/21 9:00,60,Zoom,0,0
01/11/21 8:30,01/11/21 9:00,30,Zoom,1,1
01/11/21 8:30,01/11/21 9:00,30,Zoom,1,0
01/11/21 9:00,01/11/21 9:15,15,Zoom,0,0
01/11/21 11:30,01/11/21 12:00,30,Zoom,0,1
01/11/21 16:00,01/11/21 16:30,30,Zoom,0,1
01/11/21 16:30,01/11/21 17:00,30,Zoom,0,1
02/11/21 8:00,02/11/21 9:00,60,Zoom,0,1
02/11/21 9:30,02/11/21 15:30,360,Zoom,0,1
02/11/21 11:15,02/11/21 11:45,30,Zoom,0,0
02/11/21 15:00,02/11/21 16:00,60,Zoom,1,0
02/11/21 15:00,02/11/21 18:30,210,Zoom,1,1
02/11/21 15:00,02/11/21 15:30,30,Zoom,1,0
03/11/21 7:30,03/11/21 8:00,30,Zoom,0,0
03/11/21 8:00,03/11/21 9:00,60,Zoom,0,0
03/11/21 8:30,03/11/21 9:00,30,Zoom,1,0
03/11/21 8:30,03/11/21 9:30,60,Zoom,1,1
03/11/21 9:00,03/11/21 10:00,60,Zoom,0,0
03/11/21 12:00,03/11/21 12:30,30,Zoom,0,1
03/11/21 12:30,03/11/21 13:00,30,Zoom,0,1
03/11/21 13:30,03/11/21 13:45,15,Zoom,0,0
03/11/21 14:00,03/11/21 14:30,30,Zoom,0,0
03/11/21 15:00,03/11/21 16:00,60,Zoom,0,1
03/11/21 16:00,03/11/21 17:00,60,Zoom,0,1
03/11/21 17:00,03/11/21 17:30,30,Zoom,0,1
04/11/21 8:00,04/11/21 9:00,60,Zoom,1,1
04/11/21 8:00,04/11/21 8:45,45,Zoom,1,0
04/11/21 8:00,04/11/21 9:00,60,Zoom,1,0
04/11/21 10:00,04/11/21 11:00,60,Zoom,0,1
04/11/21 12:00,04/11/21 13:00,60,Zoom,0,1
04/11/21 12:30,04/11/21 13:30,60,Zoom,0,0
04/11/21 13:30,04/11/21 15:00,90,Zoom,0,1
04/11/21 14:00,04/11/21 14:30,30,Zoom,0,0
04/11/21 14:30,04/11/21 15:00,30,Zoom,0,1
04/11/21 15:00,04/11/21 18:30,210,Zoom,1,1
04/11/21 15:00,04/11/21 16:00,60,Zoom,1,0
04/11/21 15:00,04/11/21 16:30,90,Zoom,1,0
04/11/21 16:00,04/11/21 17:00,60,Zoom,0,0
04/11/21 17:00,04/11/21 18:00,60,Zoom,0,0
05/11/21 8:00,05/11/21 9:00,60,Zoom,0,1
05/11/21 9:00,05/11/21 9:15,15,Zoom,1,1
05/11/21 9:00,05/11/21 9:30,30,Zoom,1,0
05/11/21 11:15,05/11/21 11:45,30,Zoom,0,0
05/11/21 14:00,05/11/21 14:30,30,Zoom,0,1
05/11/21 14:30,05/11/21 15:00,30,Zoom,0,1
05/11/21 15:30,05/11/21 16:30,60,Zoom,0,0
05/11/21 17:00,05/11/21 18:00,60,Zoom,1,0
05/11/21 17:00,05/11/21 17:30,30,Zoom,1,1
